date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:46	2623/2623	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:16:57%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fwhats-your-favorite-thing-about-pittsburgh%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed1629.json	(from http://video.sproutfund.org/whats-your-favorite-thing-about-pittsburgh/)
13:10:47	2761/2761	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:45%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fwhats-your-favorite-thing-about-pittsburgh%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embedb16f	(from http://video.sproutfund.org/whats-your-favorite-thing-about-pittsburgh/)
13:10:47	17565/17565	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20May%202017%2017:10:45%20GMT	http://video.sproutfund.org/g.gif	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/g.html	(from http://stats.wp.com/e-201721.js)
13:10:48	17565/17565	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20May%202017%2017:10:45%20GMT	http://video.sproutfund.org/c.gif	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/c.html	(from http://stats.wp.com/e-201721.js)
13:10:48	94396/94396	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2017:10:46%20GMT	http://video.sproutfund.org/browse/?orderby=title&order=desc	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/browse/indexece1.html	(from http://video.sproutfund.org/browse/?orderby=title)
13:10:50	94428/94428	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2017:10:47%20GMT	http://video.sproutfund.org/browse/?orderby=views&order=asc	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/browse/index8461.html	(from http://video.sproutfund.org/browse/?orderby=views)
13:10:50	2757/2757	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:04%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fcatalytic-support-for-innovative-community-film-and-video-projects%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed7763.json	(from http://video.sproutfund.org/catalytic-support-for-innovative-community-film-and-video-projects/)
13:10:51	94386/94386	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2017:10:47%20GMT	http://video.sproutfund.org/browse/?order=asc	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/browse/indexdfc2.html	(from http://video.sproutfund.org/browse/?order=desc)
13:10:51	94428/94428	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2017:10:47%20GMT	http://video.sproutfund.org/browse/?orderby=likes&order=asc	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/browse/indexff30.html	(from http://video.sproutfund.org/browse/?orderby=likes)
13:10:51	2893/2893	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:49%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fcatalytic-support-for-innovative-community-film-and-video-projects%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed0f0b	(from http://video.sproutfund.org/catalytic-support-for-innovative-community-film-and-video-projects/)
